parameter,value,unit,datetimeLocal
pm10,49,µg/m³,2026-03-16T04:20:00+07:00
pm10,48.63,µg/m³,2026-03-16T04:25:00+07:00
pm10,48.98,µg/m³,2026-03-16T04:30:00+07:00
pm10,49.25,µg/m³,2026-03-16T04:35:00+07:00
pm10,50.22,µg/m³,2026-03-16T04:40:00+07:00
pm10,50.09,µg/m³,2026-03-16T04:45:00+07:00
pm10,50.14,µg/m³,2026-03-16T04:50:00+07:00
pm10,49.77,µg/m³,2026-03-16T04:55:00+07:00
pm10,49.35,µg/m³,2026-03-16T05:00:00+07:00
pm10,50.86,µg/m³,2026-03-16T05:05:00+07:00
pm10,51.34,µg/m³,2026-03-16T05:10:00+07:00
pm10,51.63,µg/m³,2026-03-16T05:15:00+07:00
pm10,51.76,µg/m³,2026-03-16T05:20:00+07:00
pm10,52.76,µg/m³,2026-03-16T05:25:00+07:00
pm10,53.51,µg/m³,2026-03-16T05:30:00+07:00
pm10,54.62,µg/m³,2026-03-16T05:35:00+07:00
pm10,55.64,µg/m³,2026-03-16T05:40:00+07:00
pm10,55.83,µg/m³,2026-03-16T05:45:00+07:00
pm10,56.19,µg/m³,2026-03-16T05:50:00+07:00
pm10,57.03,µg/m³,2026-03-16T05:55:00+07:00
pm10,58.43,µg/m³,2026-03-16T06:00:00+07:00
pm10,59.57,µg/m³,2026-03-16T06:05:00+07:00
pm10,59.96,µg/m³,2026-03-16T06:10:00+07:00
pm10,60.18,µg/m³,2026-03-16T06:15:00+07:00
pm10,62.24,µg/m³,2026-03-16T06:20:00+07:00
pm10,65.8,µg/m³,2026-03-16T06:25:00+07:00
pm10,67.53,µg/m³,2026-03-16T06:30:00+07:00
pm10,68.53,µg/m³,2026-03-16T06:35:00+07:00
pm10,69.38,µg/m³,2026-03-16T06:40:00+07:00
pm10,71.56,µg/m³,2026-03-16T06:45:00+07:00
pm10,73.46,µg/m³,2026-03-16T06:50:00+07:00
pm10,74.39,µg/m³,2026-03-16T06:55:00+07:00
pm10,74.57,µg/m³,2026-03-16T07:00:00+07:00
pm25,45.24,µg/m³,2026-03-15T07:05:00+07:00
pm25,46.64,µg/m³,2026-03-15T07:10:00+07:00
pm25,47.23,µg/m³,2026-03-15T07:15:00+07:00
pm25,47.43,µg/m³,2026-03-15T07:20:00+07:00
pm25,47.7,µg/m³,2026-03-15T07:30:00+07:00
pm25,48.13,µg/m³,2026-03-15T07:35:00+07:00
pm25,47.62,µg/m³,2026-03-15T07:55:00+07:00
pm25,47.13,µg/m³,2026-03-15T08:00:00+07:00
pm25,48.12,µg/m³,2026-03-15T08:05:00+07:00
pm25,48.14,µg/m³,2026-03-15T08:10:00+07:00
pm25,47.37,µg/m³,2026-03-15T08:15:00+07:00
pm25,46.1,µg/m³,2026-03-15T08:55:00+07:00
pm25,46.44,µg/m³,2026-03-15T09:00:00+07:00
pm25,46.34,µg/m³,2026-03-15T09:05:00+07:00
pm25,46.21,µg/m³,2026-03-15T09:10:00+07:00
pm25,45.49,µg/m³,2026-03-15T09:15:00+07:00
pm25,45.74,µg/m³,2026-03-15T09:20:00+07:00
pm25,46.32,µg/m³,2026-03-15T09:25:00+07:00
pm25,45.27,µg/m³,2026-03-15T09:30:00+07:00
pm25,45.41,µg/m³,2026-03-15T09:35:00+07:00
pm25,44.14,µg/m³,2026-03-15T09:45:00+07:00
